BOROUGH,BLOCK,BORO,LOT,YEAR,CURMKTLAND,CURMKTTOT,CURACTLAND,CURACTTOT,ZIP_CODE,LAND_AREA,NUM_BLDGS,EXTRACRDT,BLD_STORY,UNITS,GROSS_SQFT
MANHATTAN,851,1,63,2021,2500000,7889000,1125000,3550050,10010,4605,1,01/10/2020,6,17,25170
MANHATTAN,855,1,1053,2021,29302,262018,13186,117908,10010,9877,1,01/10/2020,0,1,705
MANHATTAN,859,1,1311,2021,12202,639433,5491,287745,10016,8451,1,01/10/2020,34,1,1303
MANHATTAN,861,1,69,2021,1000000,3649000,450000,1642050,10016,2158,1,01/10/2020,8,10,18418
MANHATTAN,863,1,1154,2021,75735,475309,34081,213889,10016,10752,1,01/10/2020,34,1,891
MANHATTAN,865,1,69,2021,1140000,4951000,513000,2227950,10016,2469,1,01/10/2020,5,8,9267
MANHATTAN,868,1,1030,2021,14407,191276,6483,86074,10016,9890,1,01/10/2020,0,1,522
MANHATTAN,868,1,1323,2021,22957,262225,10331,118002,10016,17280,1,01/10/2020,0,1,677
MANHATTAN,870,1,1013,2021,53853,355902,24234,160156,10003,76503,1,01/10/2020,0,1,714
MANHATTAN,870,1,1238,2021,42442,280522,19099,126235,10003,76503,1,01/10/2020,0,1,670